idx,time_s,raw,distance_m,distance_mm
421,0.028000,59439,30.211076,30211
422,0.028000,60975,30.991779,30992
423,0.028000,63007,32.024585,32025
424,0.028000,62952,31.996630,31997
425,0.028000,58862,29.917804,29918
426,0.028000,24565,12.485659,12486
427,0.028000,22,0.011182,11
428,0.028000,24565,12.485659,12486
429,0.028000,16357,8.313777,8314
430,0.028000,53343,27.112661,27113
431,0.029000,56671,28.804184,28804
432,0.029000,60735,30.869794,30870
433,0.029000,60112,30.553142,30553
434,0.029000,51933,26.396000,26396
435,0.029000,49133,24.972843,24973
436,0.029000,49130,24.971318,24971
437,0.029000,32714,16.627553,16628
438,0.029000,41151,20.915830,20916
439,0.029000,47807,24.298876,24299
440,0.029000,55935,28.430097,28430
441,0.029000,54688,27.796284,27796
442,0.029000,38330,19.481999,19482
443,0.029000,32730,16.635686,16636
444,0.029000,32725,16.633144,16633
445,0.029000,65429,33.255615,33256
446,0.029000,16511,8.392050,8392
447,0.029000,29823,15.158144,15158
448,0.030000,46335,23.550703,23551
449,0.030000,43840,22.282568,22283
450,0.030000,11124,5.653998,5654
451,0.030000,65460,33.271371,33271
452,0.030000,65451,33.266797,33267
453,0.030000,65323,33.201738,33202
454,0.030000,33279,16.914726,16915
455,0.030000,59903,30.446914,30447
456,0.030000,26879,13.661796,13662
457,0.030000,22401,11.385762,11386
458,0.030000,22505,11.438622,11439
459,0.030000,65367,33.224102,33224
460,0.030000,104,0.052860,53
461,0.030000,65367,33.224102,33224
462,0.030000,65367,33.224102,33224
463,0.030000,767,0.389843,390
464,0.030000,54015,27.454218,27454
465,0.030000,53759,27.324101,27324
466,0.031000,44546,22.641407,22641
467,0.031000,44754,22.747127,22747
468,0.031000,65489,33.286111,33286
469,0.031000,65454,33.268322,33268
470,0.031000,65198,33.138205,33138
471,0.031000,1535,0.780195,780
472,0.031000,42495,21.598945,21599
473,0.031000,41982,21.338202,21338
474,0.031000,23813,12.103440,12103
475,0.031000,23973,12.184763,12185
476,0.031000,65187,33.132614,33133
477,0.031000,65117,33.097035,33097
478,0.031000,64605,32.836800,32837
479,0.031000,3070,1.560390,1560
480,0.031000,19454,9.887890,9888
481,0.031000,18428,9.366404,9366
482,0.031000,47627,24.207388,24207
483,0.031000,47947,24.370034,24370
484,0.031000,64839,32.955736,32956
485,0.031000,64954,33.014187,33014
486,0.031000,63931,32.494226,32494
487,0.032000,6141,3.121288,3121
488,0.032000,38909,19.776288,19776
489,0.032000,36857,18.733317,18733
490,0.032000,29719,15.105284,15105
491,0.032000,30615,15.560694,15561
492,0.032000,64115,32.587748,32588
493,0.032000,2959,1.503972,1504
494,0.032000,64116,32.588256,32588
495,0.032000,62071,31.548844,31549
496,0.032000,12283,6.243084,6243
497,0.032000,12282,6.242575,6243
498,0.032000,8178,4.156634,4157
499,0.032000,59439,30.211076,30211
500,0.032000,60975,30.991779,30992
501,0.033000,63007,32.024585,32025
502,0.033000,62952,31.996630,31997
503,0.033000,58862,29.917804,29918
504,0.033000,24566,12.486167,12486
505,0.033000,24565,12.485659,12486
506,0.033000,16357,8.313777,8314
507,0.033000,53343,27.112661,27113
508,0.033000,56671,28.804184,28804
509,0.033000,60735,30.869794,30870
510,0.034000,60112,30.553142,30553
511,0.034000,51933,26.396000,26396
512,0.034000,49133,24.972843,24973
513,0.034000,49130,24.971318,24971
514,0.034000,32714,16.627553,16628
515,0.034000,41151,20.915830,20916
516,0.034000,47807,24.298876,24299
517,0.034000,55935,28.430097,28430
518,0.034000,54688,27.796284,27796
519,0.034000,38330,19.481999,19482
520,0.034000,32730,16.635686,16636
521,0.034000,32725,16.633144,16633
522,0.034000,65429,33.255615,33256
523,0.034000,16511,8.392050,8392
524,0.034000,29823,15.158144,15158
525,0.034000,43828,22.276469,22276
526,0.034000,46335,23.550703,23551
527,0.034000,43840,22.282568,22283
528,0.034000,11124,5.653998,5654
529,0.034000,65460,33.271371,33271
530,0.034000,65451,33.266797,33267
531,0.034000,65323,33.201738,33202
532,0.034000,33279,16.914726,16915
533,0.035000,59903,30.446914,30447
534,0.035000,26879,13.661796,13662
535,0.035000,22401,11.385762,11386
536,0.035000,22505,11.438622,11439
537,0.035000,65384,33.232743,33233
538,0.035000,65367,33.224102,33224
539,0.035000,65367,33.224102,33224
540,0.035000,767,0.389843,390
541,0.035000,54015,27.454218,27454
542,0.035000,53759,27.324101,27324
543,0.035000,44546,22.641407,22641
544,0.035000,44754,22.747127,22747
545,0.035000,65489,33.286111,33286
546,0.035000,65454,33.268322,33268
547,0.035000,65198,33.138205,33138
548,0.035000,1535,0.780195,780
549,0.035000,42495,21.598945,21599
550,0.035000,41982,21.338202,21338
551,0.035000,23813,12.103440,12103
552,0.035000,23973,12.184763,12185
553,0.035000,65187,33.132614,33133
554,0.035000,65117,33.097035,33097
555,0.036000,64605,32.836800,32837
556,0.036000,3070,1.560390,1560
557,0.036000,19454,9.887890,9888
558,0.036000,47428,24.106242,24106
559,0.036000,18428,9.366404,9366
560,0.036000,47627,24.207388,24207
561,0.036000,47947,24.370034,24370
